scenario,N,net,t0,method,sigma,time,wait,stops,lefts,rights,links,away
base_N8,8,5,90.0,SP-STATIC,,1168.796604831678,340.9269015189221,5,6,5,14,
base_N8,8,5,90.0,GREEDY,,1288.796604831678,276.63205490183594,8,1,1,14,
base_N8,8,5,90.0,TD-OPT,,1041.8984140895034,150.34186271753305,6,2,3,14,0
base_N8,8,5,105.0,SP-FF,,1273.796604831678,445.9269015189219,7,6,5,14,
base_N8,8,5,105.0,SP-STATIC,,1273.796604831678,445.9269015189219,7,6,5,14,
base_N8,8,5,105.0,GREEDY,,1273.796604831678,261.63205490183594,8,1,1,14,
base_N8,8,5,105.0,TD-OPT,,1026.8984140895034,135.34186271753305,6,2,3,14,0
base_N8,8,6,0.0,SP-FF,,1069.5960770035033,297.3445352218462,6,4,3,14,
base_N8,8,6,0.0,SP-STATIC,,1225.8061018754092,444.27489203524385,6,5,5,14,
base_N8,8,6,0.0,GREEDY,,1294.3180307284463,343.2677170635742,7,1,1,14,
base_N8,8,6,0.0,TD-OPT,,914.3180307284465,101.68462038603165,6,4,3,14,0
base_N8,8,6,15.0,SP-FF,,1174.5960770035033,402.3445352218463,7,4,3,14,
base_N8,8,6,15.0,SP-STATIC,,1330.8061018754092,549.2748920352439,7,5,5,14,
base_N8,8,6,15.0,GREEDY,,1279.3180307284463,328.2677170635742,7,1,1,14,
base_N8,8,6,15.0,TD-OPT,,970.806101875409,95.97639233219654,3,4,5,14,0
base_N8,8,6,30.0,SP-FF,,1159.5960770035033,387.3445352218463,7,4,3,14,
base_N8,8,6,30.0,SP-STATIC,,1315.8061018754092,534.2748920352439,7,5,5,14,
base_N8,8,6,30.0,GREEDY,,1264.3180307284463,313.2677170635742,6,1,1,14,
base_N8,8,6,30.0,TD-OPT,,955.806101875409,80.97639233219654,3,4,5,14,0
base_N8,8,6,45.0,SP-FF,,1144.5960770035033,372.3445352218463,7,4,3,14,
base_N8,8,6,45.0,SP-STATIC,,1300.8061018754092,519.2748920352439,7,5,5,14,
base_N8,8,6,45.0,GREEDY,,1009.3180307284465,77.18834982451301,2,4,4,14,
base_N8,8,6,45.0,TD-OPT,,940.806101875409,65.97639233219655,2,4,5,14,0
base_N8,8,6,60.0,SP-FF,,1129.5960770035033,357.3445352218463,7,4,3,14,
base_N8,8,6,60.0,SP-STATIC,,1285.8061018754092,504.27489203524385,7,5,5,14,
base_N8,8,6,60.0,GREEDY,,1114.3180307284465,233.57269403640754,5,2,2,14,
base_N8,8,6,60.0,TD-OPT,,925.806101875409,50.97639233219655,2,4,5,14,0
base_N8,8,6,75.0,SP-FF,,1114.5960770035033,342.3445352218463,7,4,3,14,
base_N8,8,6,75.0,SP-STATIC,,1270.8061018754092,489.27489203524385,7,5,5,14,
base_N8,8,6,75.0,GREEDY,,925.1795016300114,95.43438895772664,4,1,2,14,
base_N8,8,6,75.0,TD-OPT,,910.806101875409,35.97639233219655,2,4,5,14,0
base_N8,8,6,90.0,SP-FF,,1099.5960770035033,327.3445352218463,7,4,3,14,
base_N8,8,6,90.0,SP-STATIC,,1255.8061018754092,474.27489203524385,7,5,5,14,
base_N8,8,6,90.0,GREEDY,,1324.3180307284463,373.2677170635737,7,1,1,14,
base_N8,8,6,90.0,TD-OPT,,944.3180307284465,131.68462038603172,7,4,3,14,0
base_N8,8,6,105.0,SP-FF,,1084.5960770035033,312.3445352218463,7,4,3,14,
base_N8,8,6,105.0,SP-STATIC,,1240.8061018754092,459.27489203524385,7,5,5,14,
base_N8,8,6,105.0,GREEDY,,1309.3180307284463,358.2677170635737,7,1,1,14,
base_N8,8,6,105.0,TD-OPT,,929.3180307284465,116.68462038603172,7,4,3,14,0
base_N8,8,7,0.0,SP-FF,,910.2285843533344,146.9743284372277,4,3,3,14,
base_N8,8,7,0.0,SP-STATIC,,949.938089960688,173.19726707227176,5,4,5,14,
base_N8,8,7,0.0,GREEDY,,1050.2285843533343,125.68744390350813,4,2,2,14,
base_N8,8,7,0.0,TD-OPT,,910.2285843533343,109.70294002062458,4,4,4,14,0
base_N8,8,7,15.0,SP-FF,,895.2285843533344,131.97432843722774,4,3,3,14,
base_N8,8,7,15.0,SP-STATIC,,934.938089960688,158.19726707227179,5,4,5,14,
base_N8,8,7,15.0,GREEDY,,1035.2285843533343,110.6874439035081,3,2,2,14,
base_N8,8,7,15.0,TD-OPT,,895.2285843533343,94.7029400206246,4,4,4,14,0
base_N8,8,7,30.0,SP-FF,,880.2285843533344,116.97432843722774,4,3,3,14,
base_N8,8,7,30.0,SP-STATIC,,919.938089960688,143.19726707227179,5,4,5,14,
base_N8,8,7,30.0,GREEDY,,1000.2285843533343,162.44698761958398,3,5,5,14,
base_N8,8,7,30.0,TD-OPT,,880.2285843533343,79.7029400206246,4,4,4,14,0
base_N8,8,7,45.0,SP-FF,,865.2285843533344,101.97432843722777,3,3,3,14,
base_N8,8,7,45.0,SP-STATIC,,904.938089960688,128.1972670722718,4,4,5,14,
base_N8,8,7,45.0,GREEDY,,865.2285843533343,64.70294002062474,1,4,4,14,
base_N8,8,7,45.0,TD-OPT,,865.2285843533343,76.08134678271085,2,4,4,14,0
base_N8,8,7,60.0,SP-FF,,970.2285843533343,206.97432843722777,4,3,3,14,
base_N8,8,7,60.0,SP-STATIC,,1009.9380899606881,233.19726707227187,5,4,5,14,
base_N8,8,7,60.0,GREEDY,,1232.7176826994023,299.0563942818251,7,1,1,14,
base_N8,8,7,60.0,TD-OPT,,970.2285843533343,133.9458252797116,4,4,4,14,0
base_N8,8,7,75.0,SP-FF,,955.2285843533343,191.97432843722774,4,3,3,14,
base_N8,8,7,75.0,SP-STATIC,,994.9380899606881,218.19726707227184,5,4,5,14,
base_N8,8,7,75.0,GREEDY,,1095.2285843533343,170.6874439035081,6,2,2,14,
base_N8,8,7,75.0,TD-OPT,,955.2285843533343,154.70294002062488,4,4,4,14,0
base_N8,8,7,90.0,SP-FF,,940.2285843533343,176.97432843722774,4,3,3,14,
base_N8,8,7,90.0,SP-STATIC,,979.9380899606881,203.19726707227184,5,4,5,14,
base_N8,8,7,90.0,GREEDY,,1080.2285843533343,155.6874439035081,6,2,2,14,
base_N8,8,7,90.0,TD-OPT,,940.2285843533343,139.70294002062488,4,4,4,14,0
base_N8,8,7,105.0,SP-FF,,925.2285843533343,161.97432843722774,4,3,3,14,
base_N8,8,7,105.0,SP-STATIC,,964.9380899606881,188.19726707227184,5,4,5,14,
base_N8,8,7,105.0,GREEDY,,1065.2285843533343,140.6874439035081,5,2,2,14,
base_N8,8,7,105.0,TD-OPT,,925.2285843533343,124.70294002062488,4,4,4,14,0
base_N8,8,8,0.0,SP-FF,,1249.8011897838091,427.1458145214413,11,1,1,14,
base_N8,8,8,0.0,SP-STATIC,,1197.0839393756978,369.7307366669031,9,2,3,14,
base_N8,8,8,0.0,GREEDY,,1269.801189783809,340.71723049525525,8,2,2,14,
base_N8,8,8,0.0,TD-OPT,,909.8011897838089,84.62405219767103,3,2,2,14,0
base_N8,8,8,15.0,SP-FF,,1234.8011897838091,412.1458145214413,11,1,1,14,
base_N8,8,8,15.0,SP-STATIC,,1182.0839393756978,354.7307366669031,9,2,3,14,
base_N8,8,8,15.0,GREEDY,,1254.801189783809,325.71723049525525,8,2,2,14,
base_N8,8,8,15.0,TD-OPT,,894.8011897838089,69.62405219767103,3,2,2,14,0
base_N8,8,8,30.0,SP-FF,,1219.8011897838091,397.1458145214413,11,1,1,14,
base_N8,8,8,30.0,SP-STATIC,,1167.0839393756978,339.7307366669031,9,2,3,14,
base_N8,8,8,30.0,GREEDY,,1239.801189783809,310.71723049525525,8,2,2,14,
base_N8,8,8,30.0,TD-OPT,,879.8011897838089,54.62405219767103,3,2,2,14,0
base_N8,8,8,45.0,SP-FF,,1204.8011897838091,382.14581452144125,10,1,1,14,
base_N8,8,8,45.0,SP-STATIC,,1152.0839393756978,324.7307366669031,7,2,3,14,
base_N8,8,8,45.0,GREEDY,,1224.801189783809,338.3152421644331,8,2,2,14,
base_N8,8,8,45.0,TD-OPT,,984.8011897838089,102.34319204424078,6,3,3,14,0
base_N8,8,8,60.0,SP-FF,,1189.8011897838091,367.14581452144125,10,1,1,14,
base_N8,8,8,60.0,SP-STATIC,,1257.0839393756978,429.7307366669031,8,2,3,14,
base_N8,8,8,60.0,GREEDY,,1089.801189783809,258.3057842107084,7,1,1,14,
base_N8,8,8,60.0,TD-OPT,,969.8011897838089,87.34319204424071,5,3,3,14,0
base_N8,8,8,75.0,SP-FF,,1174.8011897838091,352.14581452144125,10,1,1,14,
base_N8,8,8,75.0,SP-STATIC,,1242.0839393756978,414.7307366669031,8,2,3,14,
base_N8,8,8,75.0,GREEDY,,1074.801189783809,243.3057842107084,7,1,1,14,
base_N8,8,8,75.0,TD-OPT,,954.8011897838089,129.624052197671,6,2,2,14,0
base_N8,8,8,90.0,SP-FF,,1279.8011897838091,457.145814521441,11,1,1,14,
base_N8,8,8,90.0,SP-STATIC,,1227.0839393756978,399.7307366669032,9,2,3,14,
base_N8,8,8,90.0,GREEDY,,1179.801189783809,338.3439718702516,8,1,1,14,
base_N8,8,8,90.0,TD-OPT,,939.8011897838089,66.19969532203885,5,3,3,14,0
base_N8,8,8,105.0,SP-FF,,1264.8011897838091,442.145814521441,11,1,1,14,
base_N8,8,8,105.0,SP-STATIC,,1212.0839393756978,384.7307366669032,9,2,3,14,
base_N8,8,8,105.0,GREEDY,,924.8011897838089,51.19969532203879,2,3,3,14,
base_N8,8,8,105.0,TD-OPT,,924.8011897838089,51.19969532203879,2,3,3,14,0
base_N8,8,9,0.0,SP-FF,,1166.3247401534636,348.99450108226574,8,3,3,14,
base_N8,8,9,0.0,SP-STATIC,,1130.2255684498718,296.6739071091944,6,4,5,14,
base_N8,8,9,0.0,GREEDY,,1026.3247401534636,118.03124177873246,2,4,4,14,
base_N8,8,9,0.0,TD-OPT,,982.4328461805384,73.39031850237689,3,5,6,14,0
base_N8,8,9,15.0,SP-FF,,1151.3247401534636,333.99450108226574,7,3,3,14,
base_N8,8,9,15.0,SP-STATIC,,1115.2255684498718,281.6739071091944,5,4,5,14,
base_N8,8,9,15.0,GREEDY,,1033.840414444522,206.96989049375782,4,3,3,14,
base_N8,8,9,15.0,TD-OPT,,967.4328461805384,88.20542804218678,5,5,5,14,0
base_N8,8,9,30.0,SP-FF,,1256.3247401534636,438.99450108226563,8,3,3,14,
base_N8,8,9,30.0,SP-STATIC,,1220.2255684498718,386.67390710919415,6,4,5,14,
base_N8,8,9,30.0,GREEDY,,1256.3247401534636,331.73232636293807,8,1,1,14,
